Name,Scholar ID,Affiliation,Total Citations,H-index,I10-index,Research Interests,Scholar URL
John Jeka,rYI0--oAAAAJ,"Professor, University of Delaware",10897,57,101,"Human Movement, Balance and locomotion, multisensory integration",https://scholar.google.com/citations?user=rYI0--oAAAAJ
Jonathan B. Justice,pz0XHdoAAAAJ,University of Delaware,1436,20,29,"public budgeting and finance, transparency, accountability",https://scholar.google.com/citations?user=pz0XHdoAAAAJ
LaShanda Teresa James Korley,Pmd_nXIAAAAJ,University of Delaware,3727,33,69,"Polymers, Composites, Fiber and Film Processing, Bio-inspiration, Functional Materials",https://scholar.google.com/citations?user=Pmd_nXIAAAAJ
Delphis F. Levia,mCkKRDYAAAAJ,"Professor of Ecohydrology, University of Delaware",7502,46,106,"ecohydrology, forest hydrology, forest biogeochemistry, biometeorology",https://scholar.google.com/citations?user=mCkKRDYAAAAJ
Mi-Ling Li,plKLkkcAAAAJ,Asst. Prof. at the University of Delaware,1070,15,19,"Aquatic biogeochemistry, Bioaccumulation, Isotope Geochemistry, Environmental Health",https://scholar.google.com/citations?user=plKLkkcAAAAJ
Yun Li,KYlitaYAAAAJ,"School of Marine Science and Policy College of Earth, Ocean and Environment",1390,18,20,Physical and Biological Oceanography,https://scholar.google.com/citations?user=KYlitaYAAAAJ
Xinfeng Liang,CaUP5iQAAAAJ,"Associate Professor, University of Delaware",1589,20,26,"Oceanography, Climate, Ocean State Estimation",https://scholar.google.com/citations?user=CaUP5iQAAAAJ
Adrienne Lucas,c31Ae0EAAAAJ,"Professsor and Department Chair of Economics, University of Delaware | Research Associate, NBER",1712,17,19,Development/Education/Health Economist,https://scholar.google.com/citations?user=c31Ae0EAAAAJ
Jing Ma (Joy),OMftilMAAAAJ,"Assistant Professor, University of Delaware",682,15,17,"Food safety management, foodservice analytics, foodservice management",https://scholar.google.com/citations?user=OMftilMAAAAJ
Mokshay Madiman,4JgenfsAAAAJ,University of Delaware,2225,26,51,"High dimensional probability, Information theory, Geometric functional analysis, Convex geometry, Additive combinatorics",https://scholar.google.com/citations?user=4JgenfsAAAAJ
Lena Mashayekhy,b9gs2WYAAAAJ,"Associate Professor of Computer Science, University of  Delaware",1778,23,32,"Edge Intelligence, Edge Computing, Internet of Things, Cloud Computing, Game Theory",https://scholar.google.com/citations?user=b9gs2WYAAAAJ
Matthew Louis Mauriello,vVuPWSYAAAAJ,"Assistant Professor, Computer & Information Sciences, University of Delaware",1483,20,21,"Human-Computer Interaction, Ubiquitous Computing, Education, Health, Sustainability",https://scholar.google.com/citations?user=vVuPWSYAAAAJ
John G. McNutt,lhqW9cQAAAAJ,"Professor Emeritus, University of Delaware, Joseph R. Biden, Jr. School of Public Policy and",2258,24,46,"Public Interest Technology, Civic Technology, Advocacy, Nonprofit Informatics, Tech4Good",https://scholar.google.com/citations?user=lhqW9cQAAAAJ
Carlos Moffat,AJMyUg4AAAAJ,"Associate Professor, University of Delaware",1514,18,19,"Coastal Physical Oceanography, Glacier-Ocean Interactions, Antarctica, Patagonia",https://scholar.google.com/citations?user=AJMyUg4AAAAJ
Mark Moline,07Heg4cAAAAJ,University of Delaware,7739,47,111,,https://scholar.google.com/citations?user=07Heg4cAAAAJ
Peter Monk,Du2MQGsAAAAJ,"UNIDEL Professor of Mathematical Sciences, University of Delaware",16194,63,166,"numerical analysis, inverse scattering",https://scholar.google.com/citations?user=Du2MQGsAAAAJ
Joshua Neunuebel,RS3WaV0AAAAJ,"Assistant Professor of Behavioral Neuroscience, University of Delaware",2295,12,12,"Social behavior, in vivo neurophysiology, ultrasonic vocalizations, autism",https://scholar.google.com/citations?user=RS3WaV0AAAAJ
Michael O'Neal,WEYGSXsAAAAJ,University of Delaware,1413,15,23,"Quaternary Geology, Geomorphology, Geoarchaeology",https://scholar.google.com/citations?user=WEYGSXsAAAAJ
Kassra AR Oskooii,SoHJFoUAAAAJ,"Department of Political Science & International Relations, University of Delaware",1244,15,16,"American Politics, Political Methodology, Redistricting & Voting Rights, Political Psychology",https://scholar.google.com/citations?user=SoHJFoUAAAAJ
"Tarang Parekh, PhD, MBBS",wPmLekMAAAAJ,University of Delaware,5837,16,24,"Social determinants of health, Health disparities, Substance use/Addiction, Aging/Disability",https://scholar.google.com/citations?user=wPmLekMAAAAJ
Juan R. Perilla,GS-f_hIAAAAJ,"Associate Professor of Chemistry and Biochemistry, University of Delaware",3952,29,45,"Biophysics, Computational Biology, Theoretical Chemistry, Virology",https://scholar.google.com/citations?user=GS-f_hIAAAAJ
Veronique Petit,SeIaOiQAAAAJ,"Associate Professor of Physics and Astronomy, University of Delaware",3827,35,64,Stellar astrophysics,https://scholar.google.com/citations?user=SeIaOiQAAAAJ
Shawn W. Polson,nM0-oEUAAAAJ,"Professor, University of Delaware",5114,32,58,"microbial ecology, viral ecology, microbial oceanography, bioinformatics, metagenomics",https://scholar.google.com/citations?user=nM0-oEUAAAAJ
Jack Puleo,xJCRPIQAAAAJ,University of Delaware,4318,36,79,,https://scholar.google.com/citations?user=xJCRPIQAAAAJ
Wei Qian,ADxS9-QAAAAJ,"Associate Professor, University of Delaware",542,12,14,"statistics, data science, machine learning, high dimensional data, statistics computing",https://scholar.google.com/citations?user=ADxS9-QAAAAJ
Jing Qiu,aFlDcvcAAAAJ,"Associate professor of statistics,  Department of Applied economics & statistics, University of",2221,17,22,"bioinformatics, multiple testing, bayesian modelling, confidence intervals",https://scholar.google.com/citations?user=aFlDcvcAAAAJ
Jingmei Qiu,eCEowlgAAAAJ,University of Delaware,2254,28,53,Scientific Computing and Numerical Analysis,https://scholar.google.com/citations?user=eCEowlgAAAAJ
Chandra L. Reedy,IEo2kqIAAAAJ,University of Delaware,1121,19,21,"Cultural heritage preservation and policies, technical studies of material culture",https://scholar.google.com/citations?user=IEo2kqIAAAAJ
James Rising,bvywaC0AAAAJ,University of Delaware,3730,23,28,"Modeling, climate change, food systems",https://scholar.google.com/citations?user=bvywaC0AAAAJ
Breck Robinson,Gu3pMkgAAAAJ,University of Delaware,320,10,12,"Banking, Housing Finance",https://scholar.google.com/citations?user=Gu3pMkgAAAAJ
Louis Rossi,YjntW6EAAAAJ,University of Delaware,1083,18,26,"Fluid dynamics, swarms, numerical methods",https://scholar.google.com/citations?user=YjntW6EAAAAJ
Teomara (Teya) Rutherford,tWZ4c-IAAAAJ,"Associate Professor of Learning Sciences, University of Delaware",1251,20,31,"Motivation, Cognition, Interventions, Educational Technology, Self-Regulated Learning",https://scholar.google.com/citations?user=tWZ4c-IAAAAJ
Ilya Safro,QYesEdIAAAAJ,"Associate Professor of Computer Science, University of Delaware",4322,33,70,"Graph Algorithms, Quantum Computing, BioNLP, Optimization, Artificial Intelligence",https://scholar.google.com/citations?user=QYesEdIAAAAJ
Marianna Safronova,NPh3nA8AAAAJ,"Professor of Physics, University of Delaware, USA",15359,64,198,"Atomic Physics, Theoretical Physics, Atomic Clocks, Fundamental Symmetries",https://scholar.google.com/citations?user=NPh3nA8AAAAJ
Ulf D. Schiller,9ivRcy0AAAAJ,University of Delaware,1005,16,20,"Computational Materials Science, Complex Fluids, Soft Matter, Lattice Boltzmann",https://scholar.google.com/citations?user=9ivRcy0AAAAJ
Keith A. Schneider,Vxlr9agAAAAJ,University of Delaware,2418,21,21,"cognitive neuroscience, psychophysics",https://scholar.google.com/citations?user=Vxlr9agAAAAJ
